epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,3735.57,0.56514,0.71281,1.14023,0.94434,0.58179,0.70631,0.48344,0.73669,0.82281,1.28988,0.000208,0.000208,0.000208
82,3780.99,0.54788,0.65533,1.14134,0.88946,0.68253,0.71495,0.55315,0.71212,0.86176,1.26745,0.0001981,0.0001981,0.0001981
83,3826.48,0.54043,0.65556,1.12769,0.93459,0.5969,0.71424,0.55105,0.72315,0.8103,1.2856,0.0001882,0.0001882,0.0001882
84,3871.93,0.53152,0.64851,1.12141,0.94669,0.62077,0.7164,0.56316,0.72277,0.82416,1.29589,0.0001783,0.0001783,0.0001783
85,3917.3,0.52927,0.65361,1.11253,0.95428,0.60467,0.71295,0.5489,0.71064,0.82552,1.27574,0.0001684,0.0001684,0.0001684
86,3962.79,0.53218,0.62736,1.12152,0.57541,0.69699,0.65982,0.52066,0.72298,0.80821,1.28395,0.0001585,0.0001585,0.0001585
87,4008.36,0.51163,0.61115,1.10103,0.85302,0.56364,0.66894,0.54241,0.69052,0.79879,1.25584,0.0001486,0.0001486,0.0001486
88,4053.8,0.51281,0.59971,1.1011,0.96129,0.62164,0.71072,0.54677,0.72259,0.82887,1.28566,0.0001387,0.0001387,0.0001387
89,4099.26,0.50482,0.59589,1.09505,0.96814,0.63638,0.71113,0.56465,0.7464,0.87997,1.31067,0.0001288,0.0001288,0.0001288
90,4144.61,0.51129,0.58878,1.10164,0.9431,0.62834,0.71109,0.5064,0.74474,0.86198,1.3181,0.0001189,0.0001189,0.0001189
91,4190.66,0.36339,0.38262,0.99035,0.73248,0.61982,0.70184,0.55757,0.75455,0.93114,1.35057,0.000109,0.000109,0.000109
92,4235.95,0.31322,0.36487,0.94093,0.80869,0.67935,0.67926,0.5517,0.713,0.86629,1.30382,9.91e-05,9.91e-05,9.91e-05
93,4281.22,0.32182,0.31447,0.95959,0.93977,0.53852,0.66304,0.53705,0.72518,0.87188,1.31918,8.92e-05,8.92e-05,8.92e-05
94,4326.53,0.32866,0.30938,0.96646,0.82877,0.67058,0.65909,0.50414,0.75501,0.88831,1.36739,7.93e-05,7.93e-05,7.93e-05
95,4371.81,0.30228,0.3341,0.94881,0.84594,0.53942,0.65088,0.51336,0.74156,0.89868,1.3612,6.94e-05,6.94e-05,6.94e-05
96,4417.06,0.30259,0.28115,0.95197,0.95023,0.52491,0.67784,0.53136,0.74476,0.91138,1.36062,5.95e-05,5.95e-05,5.95e-05
97,4462.38,0.30981,0.28756,0.94648,0.8961,0.66867,0.71093,0.53006,0.76774,0.82531,1.41083,4.96e-05,4.96e-05,4.96e-05
98,4507.72,0.28958,0.26661,0.92988,0.90782,0.67909,0.7158,0.53187,0.74255,0.84041,1.36415,3.97e-05,3.97e-05,3.97e-05
99,4552.97,0.28991,0.26507,0.92725,0.89983,0.67053,0.71673,0.53622,0.7314,0.84705,1.35148,2.98e-05,2.98e-05,2.98e-05
100,4598.27,0.27752,0.26494,0.91849,0.91682,0.67137,0.71445,0.53729,0.73633,0.85239,1.35376,1.99e-05,1.99e-05,1.99e-05
